,계약연월_re,거래금액만원
0,2016-01-01,24990.962953607814
1,2016-02-01,24698.222155113246
2,2016-03-01,25688.60702522644
3,2016-04-01,28142.864138459525
4,2016-05-01,29509.80711114573
5,2016-06-01,30280.493354678405
6,2016-07-01,29442.907758125064
7,2016-08-01,29671.586675583047
8,2016-09-01,30716.762148337595
9,2016-10-01,30231.909586862188
10,2016-11-01,26827.770412858765
11,2016-12-01,26663.267304025863
12,2017-01-01,26266.128153212958
13,2017-02-01,26669.851954506357
14,2017-03-01,28066.296670699816
15,2017-04-01,30116.153036403288
16,2017-05-01,34412.00639053657
17,2017-06-01,32077.109384978925
18,2017-07-01,35309.54406974671
19,2017-08-01,28447.03673349589
20,2017-09-01,30826.603742036532
21,2017-10-01,31132.239226965386
22,2017-11-01,33520.996267042996
23,2017-12-01,36168.132908715445
24,2018-01-01,38465.597659641644
25,2018-02-01,34410.738155989246
26,2018-03-01,31302.010395537527
27,2018-04-01,28485.302873966073
28,2018-05-01,28341.12570621469
29,2018-06-01,28799.439416208967
30,2018-07-01,33795.07044066497
31,2018-08-01,41460.97442455243
32,2018-09-01,34640.56198753367
33,2018-10-01,28319.872160963965
34,2018-11-01,26014.28531459431
35,2018-12-01,25216.897323256766
36,2019-01-01,24647.568104207006
37,2019-02-01,23934.127386828914
38,2019-03-01,25234.952857877695
39,2019-04-01,27906.944606233348
40,2019-05-01,31814.233871427758
41,2019-06-01,36902.00765984055
42,2019-07-01,38728.36638941734
43,2019-08-01,35264.92572014498
44,2019-09-01,36957.17236827131
45,2019-10-01,39609.639141601685
46,2019-11-01,40087.40435695255
47,2019-12-01,36487.62133674267
48,2020-01-01,33542.24988487319
49,2020-02-01,33598.19151699297
50,2020-03-01,28619.729663251852
51,2020-04-01,27868.272662767697
52,2020-05-01,31948.993353606922
53,2020-06-01,40432.98203677887
54,2020-07-01,39812.87912802786
55,2020-08-01,36953.53733055465
56,2020-09-01,34969.80168371303
57,2020-10-01,35612.1129032258
58,2020-11-01,36337.45477915895
59,2020-12-01,36809.80726571291
60,2021-01-01,36466.13063988191
61,2021-02-01,33952.39180471792
62,2021-03-01,31086.036785006658
63,2021-04-01,32065.465530063586
64,2021-05-01,35127.88586552267
